Company Name,Description,Link
Augmented Pixels,"Augmented Pixels harnesses the power of computer vision to precisely navigate the physical world with self-aware entities such as mobile devices, robots and drones. Our augmented and virtual reality platforms lay a foundation for ubiquitous interfaces, helping users dynamically blend the digital world with the real world.",http://augmentedpixels.com
ProductPlay,We help Brands and Retailers find influencer videos of their products that already exist on YouTube.,http://productplay.com
Aisle411,"For shoppers, aisle411 makes shopping in-stores easier, allowing them to map products, offers and lists by aisle location, as well as discover unique information based on a shopper’s in-store location. For retailers, aisle411 offers a mobile in-store location services platform that allows them to reach shoppers at the shelf, with context and location relevant information that enhances the shopper experience. Aisle411’s proprietary, first-of-its-kind indoor retail mapping and location service and mobile platform allows shoppers to easily navigate through retail stores to find exactly what they want quickly by collecting, organizing and monetizing retailers’ product inventory, location data, and enterprise software space planning systems and store maps. aisle411 has also partnered with leading indoor positioning technology providers to provide shopper positioning services that drive merchandising insights and allow for engaging shopper experiences. The service ultimately drives higher customer satisfaction and a deeper level of engagement between the retailers and its customers by —simplifying the shopping experience.",http://aisle411.com
Aisle50,"Aisle50 sells offers grocery deals that are bought on the Web and redeemed at traditional grocery stores. The Aisle50 program usually works with retailers' loyalty card systems, although a loyalty card isn't necessary for a retailer to participate.",http://aisle50.com
IndoorAtlas,IndoorAtlas has unlocked the secret of positioning based on the earth's magnetic fields. We can provide an unprecedented accuracy level of 3-6ft at 90% confidence level and ZERO additional infrastructure. Indoor positioning made ubiquitous. The positioning service powering location-based apps worldwide.,http://www.indooratlas.com
Micello,"Micello is an award-winning company building the worlds largest collection of indoor maps; which includes places like shopping malls, airports, college campuses, hospitals, museums, business campuses, conferences, and many more. We are headquartered in Sunnyvale, CA and have multiple offices around the world. Our collection of indoor maps is available for you to use in your own web or mobile applications. Visit our developer homepage to find out more about the map APIs.",http://micello.com
Milo (acq. by Ebay),"By combining the resources of the Web and the immediacy of local stores, Milo.com makes it easy for shoppers to research the best products, find the right prices and check where products are available near them. Shoppers save time and money, get to see and try products before they buy them and get the product they want right when they want it. Retailers with products listed on Milo.com can better compete with e-commerce and can use the Site to drive valuable intent-based foot traffic into their stores. Based in Palo Alto, Calif., Milo.com boasts leadership from comScore and Google, and is backed by True Ventures and prominent Silicon Valley investors and entrepreneurs from Mint.com, PayPal, Yelp, YouTube, and others.",http://milo.com
NatureBox,"NatureBox is building a personalized food shopping experience online that caters to the consumer’s taste and dietary preferences. NatureBox is initially focusing on the $64B snack food category. By creating its own line of products, NatureBox intends to build a multi-channel and multi-category brand in the food industry.",http://naturebox.com
VUDU (acq. by Walmart),"VUDU, Inc. provides digital technologies and services that deliver Internet entertainment to consumers' HDTVs and home theaters. It offers VUDU Box and VUDU XL, which provides access to movies and TV shows; and VUDU Wireless Kit, which connects VUDU box to the Internet. The company also provides accessories, such as replacement remotes, power adapters, and power supplies and AC cords. It offers its services through movie studios, independent studios, and distributors. The company offers its products through its authorized installers and online. VUDU, Inc. was formerly known as Marquee, Inc.",https://www.vudu.com
Skytree,"Skytree®—The Machine Learning Company® is disrupting the Advanced Analytics market with a Machine Learning platform that gives organizations the power to discover deep analytic insights, predict future trends, make recommendations and reveal untapped markets and customers. Advanced Analytics is quickly becoming a strategic technology in the age of Big Data. Backed by investments from US Venture Partners, Javelin Venture Partners, Samsung, UPS and In-Q-Tel, Skytree is at the forefront with enterprise-grade Machine Learning. Skytree’s flagship product—Skytree Infinity—is the only general purpose platform on the market, built for the highest accuracy, speed and scalability.",http://www.skytree.net
Retailigence (acq. by ShopAdvisor),Retailigence drives Online-to-Offline (020) shopping behavior by leveraging unique access to location-based product and brand data as well as mobile shopper insights. The company’s adPOP (mobile ads) and appNET (mobile search) platforms empower retailers to reach over 25 million mobile shoppers. Leading retailers use Retailigence to increase engagement and drive in-store product sales through our close-the-loop “Reserve for In-Store Pickup” solution.,http://retailigence.com
ReadyPulse (acq. by Experticity),"ReadyPulse is the leading platform that provides mastery of social influencer marketing. Period. Enjoyed by the world’s most loved consumer brands to effectively market today’s socially inspired customer, the ReadyPulse platform provides a comprehensive range of tools that find the best people and user-generated content on social networks, amplifies both to promote products in an authentic manner and delivers a variety of campaign options to grow brand awareness, conversions and revenue. From deploying authentic social photos across websites, shoppable Instagram accounts, to delivering brand ambassador programs, ReadyPulse provides a toolbox filled with the loudest voices and content in social.",http://readypulse.com
Grability,"Grability envisions a world where shopping is easy, fun, and on-the-go. With our uniquely intuitive design, Grability provides the tools for retailers to embrace and monetize mobile. Grability partners with leading retailers around the world to create mobile stores that provide value in the form of dramatic increase in sales and new revenue streams in the form of non-obtrusive, high quality mobile advertisement.",http://grability.com
