Company Name,Description,Link
Population,"Population is the first suite of software-enabled Far-UVC products to destroy dangerous pathogens and promote health and wellbeing in shared spaces. Using a new kind of UV light that’s both effective and safe, they continuously sanitize to create healthier high-traffic areas.",https://www.populationlights.com/
Jaxon,Jaxon automates the process of labeling data for AI training.,http://www.jaxon.ai/
Alloy Enterprises,Lower cost aluminum parts with novel additive manufacturing,http://alloyenterprises.co/
Hypatos,"Hypatos deep learning technology automates complex document based back office processes. The technology captures data points from documents, performs validations and automates processes, like accounting, travel & expense management, loan underwriting or claims handling.",https://hypatos.ai/
Unum ID,Instantly know who you’re dealing with online.,https://unumid.org/
Spyglaz,"Spyglaz is a proactive customer retention platform that enables better live customer conversations. Spyglaz uses machine learning to flag high-value customers at risk, and opportunities for cross-sell. We integrate seamlessly into call center software, giving support teams targeted opportunities to retain customers and grow revenue within existing workflows.",https://spyglaz.com/
Brella Insurance,Brella Insurance is a modern supplemental health insurance company that provides personalized financial support to help people on their way to recovery.,https://joinbrella.com/
Walnut,We've turned life insurance into a premium membership that can be embedded in consumer products being distributed at scale.,https://www.gowalnut.com/
Second Nature,Second Nature helps people lose weight and change their habits - sustainably - for good.,https://www.secondnature.io/
Bold Health,"Bold Health develops digital therapeutics for the management of complex digestive chronic conditions, starting with IBS and IBD.",http://www.bold.health/
Carefull,"Carefull is building the first and only financial services platform for a new generation of caregivers and their $190 billion of annual spend; allowing adults to manage, coordinate, contribute, and monitor an aging loved ones’ daily money and finances.",http://www.getcarefull.com/
Pilotbird,"The power of lifestyle analytics for insurance. Pilotbird empowers insurance teams to better score risk, engage customers and detect claims fraud by analyzing social data points.",https://www.pilotbird.com/
Nayya Health,"Nayya Health generates the insights needed to optimize health networks and improve the patient journey, leveraging connected data and machine learning.",http://www.nayyahealth.com/
InterGen Data,"Develops proprietary AI/ML algo's to predict when Life Events may occur, what it could be, & how much of a financial impact it would make.",https://www.intergendata.com/
Workera,"Workera is an Enterprise workforce skills measurement, benchmarking and upskilling solution focused on Data and AI capabilities.",http://www.workera.ai/
Sarus,Sarus accelerates AI innovation within and between companies without sacrificing privacy by allowing data scientists to work on data without accessing it.,https://sarus.tech/
Fiddler AI,"Fiddler AI offers an ML Model Performance Management Platform powered by Explainable AI. Simply connect Fiddler's MPM Platform to your ML stack to monitor, observe, analyze, and explain the ML models in production. Manage and maximize your model performance with minimal effort.",https://www.fiddler.ai/
