Company Name,Link,Description
Covant Therapeutics,https://www.bio.org/events/bio-international-convention/sessions/2420063,Covant’s mission is to treat diseases with transformative therapeutics using covalency to modulate…
"Modulus Discovery, Inc.",https://www.bio.org/events/bio-international-convention/sessions/2429657,"Modulus Discovery, Inc., is a pre-clinical stage biotechnology company with a cutting-edge…"
Sarcomatrix Therapeutics Corp.,https://www.bio.org/events/bio-international-convention/sessions/2420106,Sarcomatrix is a pre-clinical biotech developing first-in-class drugs to treat muscle wasting…
Ethris,https://www.bio.org/events/bio-international-convention/sessions/2431899,"Ethris mission is to redefine mRNA medicines through best-in-industry delivery, stability,and…"
ITabMed,https://www.bio.org/events/bio-international-convention/sessions/2431894,ITabMed Ltd. is a clinical-stage biotech company developing immunotherapy antibodies (ITAbTM) to…
Novelna Inc.,https://www.bio.org/events/bio-international-convention/sessions/2431886,"Novelna Inc. is a biotech start-up, pioneering accurate and affordable screening tests for early…"
"KaliVir Immunotherapeutics, Inc.",https://www.bio.org/events/bio-international-convention/sessions/2431890,KaliVir Immunotherapeutics is a private biotechnology company dedicated to developing systemically…
Cyrus Biotechnology,https://www.bio.org/events/bio-international-convention/sessions/2416086,"Cyrus Biotechnology is a pre-clinical-stage biotech company combining computational protein 
…"
PeptiDream Inc.,https://www.bio.org/events/bio-international-convention/sessions/2429642,PeptiDream Inc. (Tokyo Stock Exchange: 4587) is leading the translation of macrocyclic peptides…
"Phanes Therapeutics, Inc.",https://www.bio.org/events/bio-international-convention/sessions/2441136,Phanes is a clinical stage biotech focused on innovative drug discovery and development in oncology…
XtalPi,https://www.bio.org/events/bio-international-convention/sessions/2450236,"Founded in 2014, XtalPi founders recognized a common hurdle in drug development  having to do with…"
"NRx Pharmaceuticals, Inc.",https://www.bio.org/events/bio-international-convention/sessions/2416096,Clinical-stage biopharmaceutical company developing therapeutics for the treatment of central…
FivepHusion,https://www.bio.org/events/bio-international-convention/sessions/2450241,"FivepHusion is an advanced clinical stage biotech company developing Deflexifol™, a novel enhanced…"
Basgenbio Inc.,https://www.bio.org/events/bio-international-convention/sessions/2450239,"Basgenbio is a clinico-genomic cohort-based R&D company with K-Biobank, which contains blood…"
Protibea Therapeutics Inc.,https://www.bio.org/events/bio-international-convention/sessions/2429655,Protibea is a clinical stage company whose product has been dosed in 200+ patients for up to one…
Henlius Biotech,https://www.bio.org/events/bio-international-convention/sessions/2450237,"Henlius is a global biopharmaceutical company with the vision to offer high-quality, affordable,…"
Precision NanoSystems,https://www.bio.org/events/bio-international-convention/sessions/2450235,"Precision NanoSystems, now part of the Danaher Life Sciences platform, is a global leader in…"
Etern Bio,https://www.bio.org/events/bio-international-convention/sessions/2450238,"Co-founded by Professor Junying Yuan and Professor Jidong Zhu, two leading scientists in cell death…"
TiCARos,https://www.bio.org/events/bio-international-convention/sessions/2450240,TiCARos is developing very differentiated CAR-T based on our proprietary CAR-T construct designing…
Affivant,https://www.bio.org/events/bio-international-convention/sessions/2431883,"Affivant is a Basel, Switzerland based biotech company developing innate immune cell engagers for…"
Accession Therapeutics,https://www.bio.org/events/bio-international-convention/sessions/2416048,"Accession Therapeutics is developing a new generation of immunotherapies for solid tumors.
…"
