Company Name,Link,Description
Praetego Inc,https://www.bio.org/events/bio-international-convention/sessions/2441141,Praetego is biopharma company developing first-in-class Advanced Glycation End-product (AGE)…
STALICLA,https://www.bio.org/events/bio-international-convention/sessions/2429656,"STALICLA is a clinical stage, precision molecular neuroscience biotech company with a mature…"
"Shanghai Pharmaceuticals Holding Co., Ltd",https://www.bio.org/events/bio-international-convention/sessions/2431901,• 2nd-largest and vertically-integrated pharma company in China ~ $35B revenue in 2022 across…
QBiotics Group,https://www.bio.org/events/bio-international-convention/sessions/2431893,QBiotics is a public unlisted Australian life sciences company that discovers and develops new…
"Pulmatrix, Inc.",https://www.bio.org/events/bio-international-convention/sessions/2431891,Pulmatrix is a clinical-stage biopharmaceutical company developing innovative inhaled therapies to…
"ModeX Therapeutics,Inc.",https://www.bio.org/events/bio-international-convention/sessions/2431895,"ModeX Therapeutics, an OPKO Health subsidiary, is a clinical-stage biopharmaceutical company…"
Starpax Biopharma,https://www.bio.org/events/bio-international-convention/sessions/2441133,Starpax has developed a never before seen technology that guides in 3D Magnetodrones™ in tumors…
Inimmune Corporation,https://www.bio.org/events/bio-international-convention/sessions/2416067,Inimmune is a fast-moving innovative biotechnology company focused on the discovery and development…
Alphyn Biologics,https://www.bio.org/events/bio-international-convention/sessions/2420060,Alphyn Biologics is clinical-stage developing first-in-class Multi-Target Therapeutics™ initially…
Glycostem Therapeutics B.V.,https://www.bio.org/events/bio-international-convention/sessions/2416139,Glycostem is focused on the development of first and second generation stem cell-derived Natural…
Ordaos Bio,https://www.bio.org/events/bio-international-convention/sessions/2429632,"Ordaōs is a human-enabled, machine-driven drug design company that creates novel and customized…"
OculoTherapy,https://www.bio.org/events/bio-international-convention/sessions/2420136,OculoTherapy is an early-stage start-up with a novel IOP-lowering eye drop for use in patients with…
NexThera Co. Ltd.,https://www.bio.org/events/bio-international-convention/sessions/2429641,"NexThera Co., Ltd. is a biotech venture company that utilizes its recombinant protein-based…"
Biocytogen Pharmaceuticals (Beijing) Co. Ltd.,https://www.bio.org/events/bio-international-convention/sessions/2420097,Biocytogen is a global biotechnology company that drives the research and development of novel…
ImmuneOnco Biopharmaceuticals (Shanghai) Inc.,https://www.bio.org/events/bio-international-convention/sessions/2429651,We are a clinical-stage biotechnology company dedicated to the discovery and development of…
VerImmune Inc,https://www.bio.org/events/bio-international-convention/sessions/2429634,VerImmune Inc (www.verimmune.com) is a biotechnology company developing a novel Virus-inspired…
"RxMP Therapeutics, Inc.",https://www.bio.org/events/bio-international-convention/sessions/2420067,"RxMP Therapeutics, Inc. (“RxMP”) is an emerging, specialty therapeutics company focused on…"
Atreca,https://www.bio.org/events/bio-international-convention/sessions/2416075,Atreca is a clinical-stage biotech company inverting the traditional approach to cancer drug…
"CXL Ophthalmics, Inc.",https://www.bio.org/events/bio-international-convention/sessions/2416104,CXL Ophthalmics (CXLO) is developing innovative treatments for corneal diseases with the goal of…
"Dyadic International, Inc.",https://www.bio.org/events/bio-international-convention/sessions/2416097,We are a global biotechnology company focused on further improving and leveraging the patented and…
"AVEO Oncology, and LG Chem Company",https://www.bio.org/events/bio-international-convention/sessions/2416072,"AVEO Oncology, an LG Chem Company, is a commercial stage, oncology-focused biopharmaceutical…"
DeepCure Inc.,https://www.bio.org/events/bio-international-convention/sessions/2416059,DeepCure is building a different kind of AI biotech company. DeepCure’s AI is harnessing the power…
Nicox,https://www.bio.org/events/bio-international-convention/sessions/2420059,Nicox is an international ophthalmology company developing innovative therapeutics to help maintain…
Bond Biosciences,https://www.bio.org/events/bio-international-convention/sessions/2420112,"Bond Biosciences, Inc. is a privately held, clinical-stage biopharmaceutical company focused on the…"
Glycan Therapeutics,https://www.bio.org/events/bio-international-convention/sessions/2420077,Glycan Therapeutics is a pioneer in design and synthesis of structurally homogeneous…
